,Duration (in seconds),Gender,Age,Location,Education,Triplet,Complexity,Condition,P(A1),P(A2),P(A3),P(¬A1),P(¬A2),P(¬A3),P(A2|A1),P(A2|¬A1),P(¬A2|A1),P(¬A2|¬A1),P(A1 ∩ A2),P(A1 ∩ ¬A2),P(¬A1 ∩ A2),P(¬A1 ∩ ¬A2),P(A1 ∪ A2),P(A1 ∪ ¬A2),P(¬A1 ∪ A2),P(¬A1 ∪ ¬A2),P(A3|A2),P(A3|¬A2),P(¬A3|A2),P(¬A3|¬A2),P(A2 ∩ A3),P(A2 ∩ ¬A3),P(¬A2 ∩ A3),P(¬A2 ∩ ¬A3),P(A2 ∪ A3),P(A2 ∪ ¬A3),P(¬A2 ∪ A3),P(¬A2 ∪ ¬A3),P(A1|A3),P(A1|¬A3),P(¬A1|A3),P(¬A1|¬A3),P(A3 ∩ A1),P(A3 ∩ ¬A1),P(¬A3 ∩ A1),P(¬A3 ∩ ¬A1),P(A3 ∪ A1),P(A3 ∪ ¬A1),P(¬A3 ∪ A1),P(¬A3 ∪ ¬A1),P(A1|A2),P(¬A1|A2),P(A1|¬A2),P(¬A1|¬A2),P(A2 ∩ A1),P(¬A2 ∩ A1),P(A2 ∩ ¬A1),P(¬A2 ∩ ¬A1),P(A2 ∪ A1),P(¬A2 ∪ A1),P(A2 ∪ ¬A1),P(¬A2 ∪ ¬A1),P(A2|A3),P(¬A2|A3),P(A2|¬A3),P(¬A2|¬A3),P(A3 ∩ A2),P(¬A3 ∩ A2),P(A3 ∩ ¬A2),P(¬A3 ∩ ¬A2),P(A3 ∪ A2),P(¬A3 ∪ A2),P(A3 ∪ ¬A2),P(¬A3 ∪ ¬A2),P(A3|A1),P(¬A3|A1),P(A3|¬A1),P(¬A3|¬A1),P(A1 ∩ A3),P(¬A1 ∩ A3),P(A1 ∩ ¬A3),P(¬A1 ∩ ¬A3),P(A1 ∪ A3),P(¬A1 ∪ A3),P(A1 ∪ ¬A3),P(¬A1 ∪ ¬A3),CRT Score,Pay,A1,A2,A3
232,679,Male,45-54,Texas,Masters,1,High,T1 HC,92,68,90,67,65,67,89,92,76,71,81,82,72,82,72,85,71,67,64,88,76,59,87,87,73,81,75,82,71,72,91,86,69,62,75,73,76,87,68,69,81,71,65,81,77,78,63,33,72,72,75,81,84,79,75,75,76,72,40,80,63,74,76,82,82,70,67,79,75,71,85,34,82,27,72,72,77,77,1,Fairly generous,Ohio,Michigan,Missouri
233,860,Male,35-44,South Dakota,High School,1,High,T1 HC,65,36,70,41,44,32,62,40,34,65,57,40,34,34,61,60,43,63,64,43,41,66,58,38,34,32,65,60,59,67,67,46,40,60,59,39,32,41,70,60,60,59,59,44,45,58,59,43,44,46,62,57,56,61,60,43,43,57,59,43,46,43,63,59,60,63,58,41,45,58,59,44,42,42,65,61,60,64,3,About right,Ohio,Michigan,Missouri
234,871,Male,35-44,Texas,Masters,1,High,T1 HC,30,50,75,60,50,25,70,40,30,70,53,60,55,50,63,64,62,66,70,55,40,70,45,25,65,55,63,69,68,68,65,45,60,70,51,30,45,40,64,64,66,66,59,41,52,56,52,56,43,49,73,73,41,64,48,50,43,69,46,49,43,53,67,41,59,64,58,46,54,63,53,50,51,45,62,54,47,58,3,About right,Ohio,Michigan,Missouri
235,834,Female,35-44,Arkansas,Freshman (1 year of college),1,High,T1 HC,96,58,93,44,41,14,80,58,39,47,87,49,52,13,98,90,69,20,95,94,6,42,88,4,54,0,100,84,100,5,84,81,18,53,97,45,8,0,100,100,99,5,93,18,74,3,80,35,31,9,81,46,65,31,94,2,30,0,89,0,47,0,100,59,100,11,100,0,100,0,94,42,0,0,100,100,72,4,2,About right,Ohio,Michigan,Missouri
236,689,Male,25-34,Oklahoma,Junior (3 years of college),1,High,T1 HC,74,50,75,35,50,25,50,50,50,50,75,50,35,15,65,50,40,50,75,75,25,25,60,30,60,20,75,40,65,50,65,65,35,35,75,40,35,20,75,75,45,30,65,30,65,35,50,55,35,35,65,65,50,50,50,50,50,50,50,25,50,25,75,50,75,50,75,25,75,25,65,35,40,35,75,75,65,35,1,About right,Ohio,Michigan,Missouri
237,1060,Male,25-34,Indiana,Senior (4 years of college),1,High,T1 HC,46,89,63,44,40,67,80,66,49,55,53,54,65,62,63,73,59,60,51,56,46,63,57,45,40,58,60,69,64,73,49,53,55,62,67,62,67,62,65,66,53,58,67,63,65,74,48,47,55,49,52,55,56,57,86,68,67,65,48,47,48,48,56,52,46,47,81,69,80,83,45,53,48,48,55,52,53,56,1,Fairly generous,Ohio,Michigan,Missouri
238,977,Female,45-54,Oregon,High School,1,High,T1 HC,96,91,92,21,19,9,92,91,13,20,95,29,31,10,82,40,40,19,90,87,10,16,88,20,30,9,84,40,40,20,86,92,9,20,95,23,30,5,81,40,40,20,92,19,85,9,96,18,14,5,95,20,19,8,96,18,82,11,95,16,18,7,96,19,19,6,91,17,87,10,96,19,11,3,96,14,21,8,2,Fairly generous,Ohio,Michigan,Missouri
239,823,Male,35-44,Washington,Freshman (1 year of college),1,High,T1 HC,39,43,41,57,59,60,53,35,43,59,35,25,31,54,46,50,51,59,56,35,41,63,34,20,29,54,39,50,50,58,57,40,41,63,36,18,29,64,39,53,50,59,46,47,35,66,31,47,46,58,43,50,48,60,46,52,34,66,45,46,47,57,42,47,48,61,46,52,34,65,32,47,47,57,41,50,51,60,3,About right,Ohio,Michigan,Missouri
240,638,Male,25-34,Kentucky,High School,1,High,T1 HC,78,58,43,78,94,86,71,34,62,90,52,93,38,65,88,97,23,62,77,43,56,87,32,74,66,78,35,75,80,76,81,41,72,85,64,16,88,78,74,34,93,69,77,29,25,63,70,95,16,37,89,99,13,81,67,61,35,77,56,33,85,83,68,26,84,80,74,65,46,86,86,16,82,55,92,22,93,77,2,Fairly generous,Ohio,Michigan,Missouri
241,823,Male,35-44,California,Senior (4 years of college),1,High,T1 HC,79,83,93,78,80,82,73,89,80,79,81,80,85,72,90,81,93,89,74,76,83,69,82,76,76,80,66,74,86,76,84,82,83,75,70,73,82,86,72,80,77,78,77,69,77,77,75,76,75,76,89,78,76,86,82,89,80,78,68,80,69,81,66,80,74,76,74,74,75,76,80,77,76,77,76,84,75,74,0,About right,Ohio,Michigan,Missouri
